,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Justice', 'Genesis')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
1,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('The Prodigy', 'Invaders Must Die')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9790419161676647,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9790419161676647,0.9880239520958084,0.9880239520958084,0.9790419161676647,0.9850299401197605,0.9880239520958084,0.9790419161676647,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.5594525235243798,0.9790419161676647,0.9850299401197605,0.7880239520958084,0.5564585115483319,0.7790419161676647,0.5594525235243798,0.9790419161676647
2,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Crystal Castles', 'Magic Spells')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
3,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Pendulum', 'Mutiny')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
4,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Ratatat', 'Nostrand')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
5,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('The Prodigy', 'Omen')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9760479041916168,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9760479041916168,0.9880239520958084,0.9880239520958084,0.9760479041916168,0.9850299401197605,0.7880239520958084,0.9760479041916168,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.4880239520958084,0.9760479041916168,0.9850299401197605,0.7880239520958084,0.6100299401197605,0.9760479041916168,0.4880239520958084,0.9760479041916168
6,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Justice', 'One Minute To Midnight')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
7,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Justice', 'Phantom')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
8,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('The Prodigy', 'Stand Up')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
9,"('Pendulum', '9,000 Miles')","('Crystal Castles', 'Celestica')","('Justice', 'D.A.N.C.E - MSTRKRFT Remix')","('Pendulum', 'The Tempest')",0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.7880239520958084,0.9850299401197605,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9850299401197605,0.7880239520958084,0.9850299401197605,0.7880239520958084,0.9880239520958084,0.9880239520958084
